epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4391.61,1.36989,1.40762,0.01554,0.52197,0.61102,0.52316,0.23181,1.71274,2.01495,0.02453,0.000990365,0.000990365,0.000990365
43,4518.97,1.29798,1.33186,0.0152,0.60028,0.51755,0.44706,0.21201,1.74989,2.21057,0.02448,0.000973861,0.000973861,0.000973861
44,4653.36,1.35813,1.25231,0.01494,0.64903,0.47101,0.51584,0.24298,1.63412,2.02136,0.02163,0.000957358,0.000957358,0.000957358
45,4781.18,1.35972,1.17672,0.01471,0.6628,0.46222,0.4971,0.25088,1.69692,1.95752,0.02369,0.000940855,0.000940855,0.000940855
46,4918.09,1.37022,1.31808,0.01472,0.73337,0.54995,0.57658,0.30153,1.75052,1.87587,0.02503,0.000924352,0.000924352,0.000924352
47,5045.7,1.35388,1.27808,0.01388,0.7859,0.47875,0.52126,0.29122,1.75206,2.00736,0.02452,0.000907848,0.000907848,0.000907848
48,5172.3,1.36117,1.29112,0.01507,0.68298,0.55911,0.53997,0.2781,1.76112,1.97776,0.02487,0.000891345,0.000891345,0.000891345
49,5309.62,1.37226,1.17432,0.01498,0.57114,0.57015,0.50969,0.2582,1.8068,1.88451,0.0255,0.000874842,0.000874842,0.000874842
50,5436.06,1.31994,1.28394,0.0151,0.65108,0.49502,0.51971,0.26644,1.838,1.92645,0.02565,0.000858338,0.000858338,0.000858338
51,5582.29,1.35365,1.17979,0.01459,0.57374,0.58112,0.53117,0.28804,1.77305,1.99528,0.02494,0.000841835,0.000841835,0.000841835
52,5719.96,1.34194,1.19496,0.01412,0.63169,0.5276,0.57345,0.30859,1.71721,1.84188,0.02388,0.000825332,0.000825332,0.000825332
53,5862.93,1.32398,1.17062,0.01404,0.70292,0.55745,0.58136,0.2969,1.7204,1.86242,0.02376,0.000808828,0.000808828,0.000808828
54,5999.97,1.30008,1.11665,0.01354,0.64442,0.58081,0.55268,0.28883,1.66859,1.80857,0.02267,0.000792325,0.000792325,0.000792325
55,6138.13,1.36414,1.12153,0.0148,0.75575,0.57712,0.60611,0.32556,1.73253,1.7049,0.02391,0.000775822,0.000775822,0.000775822
56,6280.33,1.22387,1.0849,0.01255,0.61648,0.58555,0.57697,0.31493,1.71173,1.80156,0.02298,0.000759318,0.000759318,0.000759318
57,6380.49,1.30578,1.17663,0.01417,0.64829,0.5044,0.51976,0.28164,1.69683,1.90311,0.02298,0.000742815,0.000742815,0.000742815
58,6476.67,1.29353,1.10224,0.01413,0.62293,0.58397,0.53875,0.28816,1.67908,1.84085,0.02244,0.000726312,0.000726312,0.000726312
59,6571.72,1.28363,1.06212,0.01429,0.73479,0.58126,0.6121,0.32132,1.76266,1.68134,0.02471,0.000709809,0.000709809,0.000709809
60,6677.54,1.29749,1.07422,0.01344,0.60727,0.61387,0.54683,0.29306,1.68434,1.81432,0.02304,0.000693305,0.000693305,0.000693305
61,6818.27,1.24956,1.06953,0.01278,0.63441,0.53675,0.51653,0.29017,1.7379,1.86906,0.02408,0.000676802,0.000676802,0.000676802
62,6955.63,1.27067,1.04563,0.01237,0.61064,0.54788,0.50805,0.27424,1.86123,1.83613,0.02735,0.000660299,0.000660299,0.000660299
63,7086.03,1.2262,1.01604,0.01321,0.56568,0.60052,0.52755,0.30583,1.77495,1.79844,0.02467,0.000643795,0.000643795,0.000643795
64,7209.43,1.23653,1.0651,0.01257,0.5371,0.61469,0.51387,0.26816,1.7519,1.78896,0.0241,0.000627292,0.000627292,0.000627292
65,7319.44,1.2268,1.04813,0.01253,0.5445,0.57169,0.47999,0.26315,1.71056,1.85119,0.02333,0.000610789,0.000610789,0.000610789
66,7438.63,1.20223,1.03031,0.01225,0.59073,0.55284,0.54156,0.28022,1.66835,1.9067,0.02224,0.000594286,0.000594286,0.000594286
67,7556.53,1.18709,0.97816,0.01344,0.67018,0.55202,0.5587,0.29557,1.67296,1.90978,0.02327,0.000577782,0.000577782,0.000577782
68,7679.03,1.25733,0.97419,0.0127,0.57771,0.64855,0.52385,0.27756,1.67956,1.92906,0.02302,0.000561279,0.000561279,0.000561279
69,7775.17,1.20286,0.999,0.01265,0.58358,0.58119,0.52123,0.28011,1.65403,1.95473,0.02241,0.000544776,0.000544776,0.000544776
70,7861.24,1.20189,0.93989,0.01333,0.63338,0.59006,0.55391,0.29614,1.70782,1.82849,0.02368,0.000528272,0.000528272,0.000528272
71,7980.67,1.16621,0.95993,0.0121,0.50796,0.60468,0.53022,0.30097,1.74373,1.83402,0.02375,0.000511769,0.000511769,0.000511769
72,8102.56,1.20009,0.99865,0.012,0.55535,0.50603,0.51462,0.2913,1.67898,1.87778,0.02323,0.000495266,0.000495266,0.000495266
