epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,9988.75,1.29472,1.74515,0.0145,0.78344,0.69111,0.76374,0.49912,1.29362,1.35642,0.02876,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,10323,1.32046,1.72427,0.01502,0.77185,0.71069,0.77294,0.5206,1.27843,1.13915,0.03057,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,10654.2,1.31139,1.71965,0.01475,0.75827,0.70724,0.7664,0.5185,1.22664,1.17856,0.02653,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,10988.6,1.30728,1.70067,0.01475,0.77788,0.7009,0.76919,0.51641,1.27938,1.24625,0.02801,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,11320.4,1.31192,1.70767,0.01496,0.68966,0.74069,0.761,0.5121,1.28439,1.27498,0.02859,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,11654.7,1.27928,1.64975,0.01413,0.73807,0.69146,0.77438,0.52387,1.25635,1.15195,0.02768,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,11988.1,1.27112,1.64574,0.01425,0.71957,0.70769,0.76002,0.5053,1.2404,1.1254,0.02705,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,12320.3,1.27485,1.63189,0.01418,0.77659,0.71013,0.78719,0.52673,1.26724,1.16501,0.02773,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,12650.8,1.26421,1.61361,0.01413,0.68573,0.73782,0.77244,0.53693,1.20874,1.06185,0.02613,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,12983.5,1.27514,1.62243,0.01407,0.82808,0.6573,0.79381,0.5395,1.19098,1.09133,0.02641,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,13313.3,1.26991,1.58175,0.01391,0.77796,0.73386,0.77766,0.53502,1.20315,1.06778,0.02578,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,13646.3,1.2863,1.6138,0.01422,0.83176,0.71064,0.80898,0.55974,1.22903,1.12551,0.02637,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,13978.3,1.24335,1.54878,0.01374,0.82741,0.67315,0.75687,0.51613,1.24805,1.27002,0.02784,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,14311.5,1.2316,1.56762,0.01366,0.73372,0.73525,0.77932,0.54626,1.13158,1.05889,0.02442,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,14641.6,1.24267,1.54861,0.01379,0.78037,0.70742,0.76491,0.52894,1.20632,1.24843,0.02647,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
