epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14260.4,1.18134,1.53201,0.01316,0.74863,0.73086,0.77937,0.55276,1.17632,1.00039,0.02556,0.00132868,0.00132868,0.00132868
43,14591,1.22268,1.54949,0.01375,0.74231,0.75359,0.79294,0.56318,1.1832,0.96618,0.02559,0.00132043,0.00132043,0.00132043
44,14923.7,1.20535,1.53268,0.01358,0.77483,0.68573,0.76287,0.52485,1.2533,1.15187,0.02819,0.00131218,0.00131218,0.00131218
45,15257.7,1.21204,1.5329,0.01333,0.84809,0.69455,0.7986,0.5574,1.18774,0.95923,0.02562,0.00130393,0.00130393,0.00130393
46,15590.9,1.20894,1.53529,0.0137,0.73408,0.73883,0.77311,0.54871,1.14365,1.0717,0.02412,0.00129568,0.00129568,0.00129568
47,15922.8,1.18158,1.49536,0.01343,0.71972,0.75247,0.7807,0.56366,1.09678,1.02073,0.0242,0.00128742,0.00128742,0.00128742
48,16254.2,1.17994,1.48511,0.01296,0.72505,0.76225,0.80317,0.56854,1.12389,1.03009,0.02442,0.00127917,0.00127917,0.00127917
49,16591.1,1.1986,1.50629,0.0134,0.75963,0.68961,0.77807,0.55901,1.15041,1.00083,0.02557,0.00127092,0.00127092,0.00127092
50,16924,1.18128,1.492,0.01321,0.80489,0.73119,0.79243,0.55562,1.13271,1.10551,0.02393,0.00126267,0.00126267,0.00126267
51,17260.8,1.1946,1.47717,0.01346,0.80039,0.72779,0.79166,0.55617,1.16107,0.96885,0.02578,0.00125442,0.00125442,0.00125442
52,17595.2,1.15909,1.44251,0.01298,0.79048,0.74222,0.81569,0.58407,1.13866,0.92847,0.02532,0.00124617,0.00124617,0.00124617
53,17925.1,1.16797,1.43266,0.01302,0.8009,0.74833,0.82498,0.59577,1.11073,1.03778,0.02352,0.00123791,0.00123791,0.00123791
54,18254,1.14304,1.40887,0.0131,0.75333,0.74562,0.78465,0.55221,1.19262,1.00377,0.02671,0.00122966,0.00122966,0.00122966
