epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,10101.7,1.3967,1.48513,0.02591,0.5794,0.3125,0.38579,0.23158,1.89479,3.44964,0.05454,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,10423.6,1.38663,1.44297,0.02625,0.70008,0.39844,0.49562,0.2693,1.77107,2.50699,0.04924,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,10744.6,1.40269,1.49061,0.02622,0.56422,0.38281,0.46599,0.25047,1.67699,2.26252,0.0454,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,11061.2,1.37825,1.40486,0.02547,0.76233,0.4375,0.55024,0.32087,1.83697,2.12243,0.05298,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,11379.6,1.39735,1.43868,0.02597,0.57318,0.51562,0.51801,0.26668,1.75763,2.08884,0.05106,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,11696.2,1.38285,1.38897,0.0255,0.75339,0.54896,0.64907,0.36731,1.62021,1.66125,0.04497,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,12012.1,1.34872,1.40112,0.02523,0.68242,0.42969,0.49904,0.29894,1.61379,2.06846,0.04636,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,12330.7,1.33926,1.37142,0.02463,0.63356,0.40524,0.50052,0.27292,1.84065,2.38617,0.04954,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,12648.3,1.35566,1.33184,0.02519,0.63572,0.39844,0.46626,0.24369,1.77531,2.61375,0.04788,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,12965.9,1.37474,1.34999,0.02595,0.59275,0.54581,0.55631,0.32471,1.57223,2.02327,0.04329,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,13283.3,1.37149,1.3134,0.02564,0.75748,0.39042,0.54705,0.30134,1.59338,2.04387,0.04343,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,13600.4,1.33107,1.33337,0.02436,0.68617,0.49538,0.57045,0.31919,1.8409,2.29823,0.05112,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,13919.5,1.34589,1.21796,0.02474,0.57986,0.44211,0.50553,0.26932,1.43979,2.25787,0.03734,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,14240.7,1.32978,1.27888,0.0244,0.54667,0.38281,0.44594,0.24941,1.6167,2.6864,0.04414,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,14558.8,1.3187,1.23675,0.02432,0.66809,0.54688,0.62687,0.33338,1.6987,1.87982,0.04877,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,14885.7,1.30801,1.2473,0.02373,0.6234,0.51562,0.56969,0.32147,1.72608,2.08685,0.0472,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,15203.9,1.34081,1.21994,0.02372,0.67486,0.51562,0.60751,0.33749,1.55983,1.903,0.04275,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,15523.1,1.29409,1.26382,0.02362,0.75104,0.41406,0.53712,0.30297,1.69052,2.18631,0.04662,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,15843.2,1.31616,1.18449,0.02387,0.54197,0.40625,0.46351,0.24837,1.62839,2.42879,0.04444,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,16161.4,1.28696,1.20928,0.02369,0.6724,0.53906,0.62145,0.34076,1.69261,1.66838,0.04746,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,16478.6,1.29291,1.20405,0.02336,0.64662,0.26562,0.32184,0.17716,1.9283,3.13762,0.05421,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,16796.6,1.30721,1.18885,0.02389,0.75684,0.5,0.61729,0.34632,1.80502,1.62716,0.05237,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,17115,1.26705,1.15883,0.02327,0.69161,0.56067,0.61296,0.36021,1.72823,1.74914,0.0472,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,17433.7,1.27117,1.19017,0.02349,0.59094,0.29688,0.3506,0.22807,1.64664,3.16772,0.04444,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,17752.5,1.29561,1.21255,0.02334,0.6612,0.39643,0.47231,0.25228,1.70871,2.62125,0.04742,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,18070.1,1.27087,1.1536,0.02292,0.6704,0.52344,0.58723,0.33684,1.68269,1.97155,0.04563,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
